,Position,Company,Description,Location,Required Experience,Salary
1,Application Security Engineer (Penetration Testing) ,solution enterprises pvt ltd ( ncr corporation india pvt ltd )," About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in... ",Gurgaon ,2 - 5 Years, Not disclosed
2,Application Security Engineer (Penetration Testing) ,solution enterprises pvt ltd ( ncr corporation india pvt ltd )," About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in... ",Gurgaon ,2 - 5 Years, Not disclosed
3,Application Security Engineer (Penetration Testing) ,solution enterprises pvt ltd ( ncr corporation india pvt ltd )," About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in... ",Gurgaon ,2 - 5 Years, Not disclosed
4,Software Engineer IV - C   Development ,solution enterprises pvt ltd ( ncr corporation india pvt ltd )," About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in... ",Atlanta ,9 - 10 Years, Not disclosed
5,Software Engineer IV - C   Development ,solution enterprises pvt ltd ( ncr corporation india pvt ltd )," About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in... ",Atlanta ,9 - 10 Years, Not disclosed
6,Project Manager  Mobile Games ,games2win india pvt.ltd, We are looking for an experienced Project Manager to ensure the timely delivery of the games we release. You will need to understand the requirements ... ,Mumbai ,5 - 8 Years, Not disclosed
7,Software Engineer IV - C   Development ,solution enterprises pvt ltd ( ncr corporation india pvt ltd )," About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in... ",Atlanta ,9 - 10 Years, Not disclosed
8,Project Manager  Mobile Games ,games2win india pvt.ltd, We are looking for an experienced Project Manager to ensure the timely delivery of the games we release. You will need to understand the requirements ... ,Mumbai ,5 - 8 Years, Not disclosed
9,Sr. Software Engineer - Java Job Job Details | Yash Technologies ,Yash Technologies Pvt Ltd," Sr. Software Engineer - Java JobDate: Dec 18, 2024Job Requisition Id: 59718Location: Bangalore, KA, IN:Education:Bachelors/Masters degree in computer ... ",Bengaluru / Bangalore ,2 - 5 Years, Not disclosed
10,Project Manager  Mobile Games ,games2win india pvt.ltd, We are looking for an experienced Project Manager to ensure the timely delivery of the games we release. You will need to understand the requirements ... ,Mumbai ,5 - 8 Years, Not disclosed
11,Software Engineer - JavaScript Job Job Details | Yash Technologies ,Yash Technologies Pvt Ltd," Software Engineer - JavaScript JobDate: Dec 18, 2024Job Requisition Id: 59737Location: Bangalore, KA, IN:Experience required: 5-12 yearsJob Title: Sof... ",Bengaluru / Bangalore ,5 - 12 Years, Not disclosed
12,Sr. Software Engineer - Java Job Job Details | Yash Technologies ,Yash Technologies Pvt Ltd," Sr. Software Engineer - Java JobDate: Dec 18, 2024Job Requisition Id: 59718Location: Bangalore, KA, IN:Education:Bachelors/Masters degree in computer ... ",Bengaluru / Bangalore ,2 - 5 Years, Not disclosed
13,Sr. Software Engineer - Java Job Job Details | Yash Technologies ,Yash Technologies Pvt Ltd," Sr. Software Engineer - Java JobDate: Dec 18, 2024Job Requisition Id: 59718Location: Bangalore, KA, IN:Education:Bachelors/Masters degree in computer ... ",Bengaluru / Bangalore ,2 - 5 Years, Not disclosed
